Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
GORRA ADULTO,,GORRA ADULTO,6.0,889.0,4000.0,2.0,,,,888.16,
GORRA NIÑO,,GORRA NIÑO,0.0,778.0,2800.0,1.0,,,,680.75,
,,GORROS ZATIN,2.0,0.0,1700.0,0.0,,,,0.0,
GRADUADOS 1,,GRADUADOS 1,143.0,0.0,3000.0,3.0,,,,0.0,
GRADUADOS 2,,GRADUADOS 2,6.0,0.0,1800.0,2.0,,,,0.0,
GUANTES CHICOS,,GUANTES CHICOS,0.0,0.0,1150.0,0.0,,,,0.0,
GUANTES GRANDES,,GUANTES GRANDES,0.0,0.0,1400.0,0.0,,,,0.0,
GUANTES MEDIANO,,GUANTES MEDIANO,0.0,0.0,1500.0,0.0,,,,0.0,
GUANTES NAV 3,,GUANTES NAV 3,0.0,0.0,650.0,0.0,,,,0.0,
GUANTES NAVIDAD 1,,GUANTES NAVIDAD 1,0.0,0.0,800.0,1.0,,,,0.0,
GUANTES NAVIDAD 2,,GUANTES NAVIDAD 2,0.0,0.0,1150.0,2.0,,,,0.0,
GUANTES NAVIDAD ADULTO,,GUANTES NAVIDAD ADULTO,0.0,0.0,1400.0,2.0,,,,0.0,
GUANTES NIÑO,,GUANTES NIÑO,0.0,0.0,1150.0,0.0,,,,0.0,
GUIRNALDAS,,GUIRNALDAS,0.0,0.0,600.0,3.0,,,,0.0,
,,HEBIILAS DETALLE,6.0,0.0,650.0,0.0,,,,0.0,
HEBILLA 3,,HEBILLA 3,0.0,0.0,450.0,0.0,,,,0.0,
,,HEBILLA FLOR 2,0.0,0.0,750.0,0.0,,,,0.0,
HEBILLA LAZO,,HEBILLA LAZO,1.0,0.0,550.0,0.0,,,,0.0,
,,HEBILLA LAZO 1,7.0,0.0,750.0,0.0,,,,0.0,
,,HEBILLA LAZO 2,3.0,0.0,800.0,0.0,,,,0.0,
HEBILLA,,HEBILLA MARIPOSA,4.0,0.0,850.0,1.0,,,,0.0,
,,HEBILLA PAR,1.0,0.0,550.0,0.0,,,,0.0,
